Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
15 June ,10032,343075,10639,180324,396,9918
16 June ,11086,354161,7226,187550,2004,11922
17 June ,13108,367269,6890,194440,341,12263
18 June ,13829,381098,10741,205181,343,12606
19 June ,14740,395838,9029,214210,364,12970
20 June ,15918,411753,13974,228184,308,13278
21 June ,15151,426904,9075,237259,426,13704
22 June ,13560,440464,10879,248138,312,14016
23 June ,15656,456120,10462,258600,468,14484
24 June ,16868,472988,13089,271689,424,14908
25 June ,18205,491193,13983,285672,401,15309
26 June ,18255,509448,10246,295918,381,15690
27 June ,20142,529590,14229,310147,414,16104
28 June ,19610,549200,11631,321778,384,16488
29 June ,18339,567539,13497,335275,417,16905
30 June ,18256,585795,12565,347840,506,17411
01 July ,19429,605224,12064,359904,438,17849
02 July ,21947,627171,19999,379903,378,18227
03 July ,22718,649889,14417,394320,444,18671
04 July ,24018,673907,14746,409066,611,19282
05 July ,23942,697849,15829,424895,421,19703
06 July ,22500,720349,15315,440210,473,20176
07 July ,23147,743496,16836,457046,479,20655
08 July ,25561,769057,19508,476554,492,21147
09 July ,25790,794847,19408,495962,479,21626
10 July ,27762,822609,20289,516251,520,22146
11 July ,27757,850366,19981,536232,543,22689
12 July ,29106,879472,18198,554430,500,23189
13 July ,28178,907650,17683,572113,541,23730
14 July ,29917,937567,20977,593090,587,24317
15 July ,32607,970174,20646,613736,614,24931
16 July ,35468,1005642,22867,636603,680,25611
17 July ,34820,1040462,17476,654079,676,26287
18 July ,37411,1077873,23583,677662,543,26830
19 July ,40235,1118108,22730,700392,675,27505
20 July ,36806,1154914,24303,724695,596,28101
21 July ,39170,1194084,27589,752284,671,28772
22 July ,45601,1239685,31875,784159,1130,29902
23 July ,48443,1288128,33326,817485,755,30657
24 July ,48888,1337016,32514,849999,763,31420
25 July ,50072,1387088,37125,887124,703,32123
26 July ,48932,1436020,31512,918636,704,32827
27 July ,46484,1482504,34354,952990,642,33469
28 July ,49631,1532135,35683,988673,774,34243
29 July ,52479,1584614,32886,1021559,775,35018
30 July ,54968,1639582,37425,1058984,784,35802
31 July ,57486,1697068,36554,1095538,764,36566
01 August ,55117,1752185,51368,1146906,854,37420
02 August ,52672,1804857,40355,1187261,760,38180
03 August ,50488,1855345,43070,1230331,806,38986
04 August ,51282,1906627,51220,1281551,849,39835
05 August ,56626,1963253,45583,1327134,919,40754
06 August ,62170,2025423,50141,1377275,899,41653
07 August ,61455,2086878,50387,1427662,936,42589
08 August ,65156,2152034,52135,1479797,875,43464
09 August ,62117,2214151,54474,1534271,1013,44477
10 August ,53016,2267167,47362,1581633,887,45364
11 August ,61252,2328419,56461,1638094,835,46199
12 August ,67066,2395485,57759,1695853,950,47149
13 August ,64141,2459626,54776,1750629,1006,48155
14 August ,65610,2525236,56920,1807549,989,49144
15 August ,63986,2589222,53116,1860665,952,50096
16 August ,58096,2647318,57404,1918069,952,51048
17 August ,54298,2701616,58172,1976241,880,51928
18 August ,65024,2766640,60455,2036696,1099,53027
19 August ,69196,2835836,59365,2096061,979,54006
20 August ,68518,2904354,61873,2157934,981,54987
21 August ,69029,2973383,62858,2220792,953,55940
22 August ,70067,3043450,59101,2279893,918,56858
23 August ,61749,3105199,56896,2336789,846,57704
24 August ,59696,3164895,66305,2403094,854,58558
25 August ,66873,3231768,64151,2467245,1066,59624
26 August ,75995,3307763,56191,2523436,1017,60641
27 August ,76827,3384590,59620,2583056,1066,61707
28 August ,76657,3461247,64475,2647531,1019,62726
29 August ,78479,3539726,64982,2712513,943,63669
30 August ,79461,3619187,60422,2772935,960,64629
31 August ,68766,3687953,64435,2837370,816,65445
01 September ,78168,3766121,62145,2899515,892,66337
02 September ,82860,3848981,67874,2967389,913,67250
03 September ,84156,3933137,67491,3034880,979,68229
04 September ,87115,4020252,69625,3104505,950,69179
05 September ,90600,4110852,73161,3177666,916,70095
06 September ,91725,4202577,69630,3247296,1005,71100
07 September ,75015,4277592,74116,3321412,1129,72229
08 September ,89855,4367447,74608,3396020,1107,73336
09 September ,95536,4462983,73062,3469082,1168,74504
10 September ,96762,4559745,70904,3539986,1213,75717
11 September ,97655,4657400,81456,3621442,1202,76919
12 September ,94414,4751814,77862,3699304,1111,78030
13 September ,93220,4845034,77748,3777052,1140,79170
14 September ,81913,4926947,79213,3856265,1054,80224
15 September ,91098,5018045,82849,3939114,1281,81505
16 September ,97860,5115905,82924,4022038,1140,82645
17 September ,96787,5212692,87788,4109826,1175,83820
18 September ,92973,5305665,95515,4205341,1221,85041
19 September ,92574,5398239,94389,4299730,1149,86190
20 September ,87395,5485634,92926,4392656,1135,87325
21 September ,74493,5560127,102070,4494726,1056,88381
22 September ,83362,5643489,89657,4584383,1085,89466
23 September ,86703,5730192,87459,4671842,1123,90589
24 September ,85921,5816113,81142,4752984,1144,91733
25 September ,85717,5901830,93331,4846315,1093,92826
26 September ,88759,5990589,92365,4938680,1124,93950
27 September ,82770,6073359,74691,5013371,1040,94990
28 September ,69669,6143028,85198,5098569,775,95765
29 September ,80500,6223528,86150,5184719,1178,96943
30 September ,86748,6310276,85274,5269993,1179,98122
01 October ,81784,6392060,78731,5348724,1099,99221
02 October ,79883,6471943,76339,5425063,1068,100289
03 October ,75479,6547422,81655,5506718,937,101226
04 October ,74770,6622192,76713,5583431,903,102129
05 October ,60130,6682322,75855,5659286,886,103015
06 October ,71869,6754191,81945,5741231,990,104005
07 October ,78809,6833000,83209,5824440,963,104968
08 October ,70797,6903797,78745,5903185,967,105935
09 October ,73305,6977102,82628,5985813,929,106864
10 October ,74418,7051520,89024,6074837,921,107785
11 October ,67789,7119309,71565,6146402,813,108598
12 October ,54261,7173570,78365,6224767,710,109308
13 October ,63717,7237287,74079,6298846,727,110035
14 October ,67791,7305078,81582,6380428,690,110725
